feature,importance,cumulative_importance
Fea162,0.06308734275407345,0.06308734275407345
Fea314,0.051065366223707366,0.11415270897778082
Fea243,0.028365851039030044,0.14251856001681087
Fea630,0.02715643151989231,0.16967499153670318
Fea70,0.022967064521721398,0.19264205605842458
Fea270,0.021498512774085852,0.21414056883251043
Fea170,0.019933064387440014,0.23407363321995045
Fea181,0.016493795703191417,0.2505674289231419
Fea886,0.01587170027068819,0.26643912919383006
Fea609,0.014877876001606788,0.28131700519543684
Fea210,0.014204735566019908,0.29552174076145676
Fea789,0.010475182750977044,0.3059969235124338
Fea445,0.01045978136036182,0.3164567048727956
Fea715,0.010042471992280684,0.3264991768650763
Fea689,0.009988359678630805,0.3364875365437071
Fea361,0.009287463665914956,0.34577500020962204
Fea295,0.008916096362777152,0.35469109657239917
Fea197,0.00858252860652858,0.36327362517892775
Fea409,0.008132772592250169,0.3714063977711779
Fea633,0.008112466680425938,0.3795188644516038
Fea34,0.0076425871015401575,0.38716145155314396
Fea414,0.006857500294625285,0.39401895184776925
Fea426,0.006704643622826133,0.4007235954705954
Fea373,0.0066382099212552136,0.4073618053918506
Fea667,0.006530340313028802,0.41389214570487937
Fea467,0.0063325565308715685,0.4202247022357509
Fea353,0.006285913681986688,0.4265106159177376
Fea102,0.006069787075075387,0.432580402992813
Fea385,0.00597913301015539,0.4385595360029684
Fea484,0.005973999830735799,0.4445335358337042
Fea595,0.0057776482367438145,0.450311184070448
Fea43,0.005716691333367832,0.45602787540381584
Fea681,0.0054345834279295275,0.46146245883174536
Fea824,0.00528230027033918,0.4667447591020845
Fea425,0.0052810453121130705,0.4720258044141976
Fea672,0.005260250638154927,0.47728605505235255
Fea841,0.005141431813760859,0.4824274868661134
Fea100,0.0048635594292580735,0.4872910462953715
Fea556,0.004828289308755416,0.4921193356041269
Fea14,0.004758796939685894,0.4968781325438128
Fea521,0.004730850228698967,0.5016089827725118
Fea836,0.004722471641274461,0.5063314544137862
Fea40,0.004673105265690325,0.5110045596794766
Fea119,0.004643068156430664,0.5156476278359072
Fea981,0.004606850075020326,0.5202544779109276
Fea542,0.004548361345393468,0.5248028392563211
Fea851,0.004452216235552009,0.5292550554918731
Fea116,0.004372976782089389,0.5336280322739625
Fea71,0.004306539961644585,0.537934572235607
Fea1000,0.00427344497197875,0.5422080172075858
Fea21,0.004269868395673913,0.5464778856032597
Fea629,0.004254626166867023,0.5507325117701267
Fea22,0.004202227523874463,0.5549347392940012
Fea744,0.004179145743794303,0.5591138850377955
Fea985,0.004153854395885645,0.5632677394336811
Fea977,0.004068675128316473,0.5673364145619976
Fea574,0.0040457866640916966,0.5713822012260893
Fea507,0.0039892588390654975,0.5753714600651548
Fea349,0.003942706554268971,0.5793141666194238
Fea803,0.003906819936469209,0.583220986555893
Fea871,0.0038685632168136315,0.5870895497727067
Fea591,0.0038499335631924894,0.5909394833358992
Fea284,0.003846013419632109,0.5947854967555313
Fea821,0.00384188953756903,0.5986273862931003
Fea780,0.003796430773551591,0.6024238170666519
Fea9,0.003721130385757632,0.6061449474524095
Fea562,0.003647522139717415,0.609792469592127
Fea926,0.0036206135729637294,0.6134130831650907
Fea971,0.0036188551382155044,0.6170319383033062
Fea998,0.0035280126031253054,0.6205599509064315
Fea319,0.0035171886735203784,0.6240771395799518
Fea952,0.003493817769665372,0.6275709573496172
Fea481,0.003425679569037955,0.6309966369186552
Fea950,0.0034205254791181885,0.6344171623977733
Fea560,0.0034195419804918656,0.6378367043782652
Fea684,0.003412770504107027,0.6412494748823723
Fea692,0.003368546201772491,0.6446180210841448
Fea561,0.003368405100560792,0.6479864261847056
Fea607,0.003347024746161224,0.6513334509308668
Fea417,0.0033294488179104304,0.6546628997487772
Fea566,0.0032938546757657157,0.6579567544245429
Fea462,0.0032729228540775957,0.6612296772786205
Fea368,0.0032522701420920025,0.6644819474207124
Fea273,0.0032347542002372403,0.6677167016209496
Fea735,0.003205888753122703,0.6709225903740723
Fea88,0.0031906394767432394,0.6741132298508156
Fea222,0.0031446072519900016,0.6772578371028055
Fea44,0.003108046349655844,0.6803658834524614
Fea315,0.003103780266601645,0.683469663719063
Fea798,0.0030716052420150177,0.686541268961078
Fea714,0.0030605816496218434,0.6896018506106999
Fea731,0.0030399678380135086,0.6926418184487134
Fea513,0.0030282670884488236,0.6956700855371623
Fea955,0.0029621442047232842,0.6986322297418855
Fea640,0.0029067427089478673,0.7015389724508334
Fea929,0.0028244371137562574,0.7043634095645896
Fea881,0.0027980849739454258,0.707161494538535
Fea329,0.0027351747937190665,0.7098966693322541
Fea256,0.002727318125152977,0.7126239874574071
Fea704,0.0026792179386405253,0.7153032053960476
Fea114,0.0026490924110111726,0.7179522978070588
Fea27,0.0026090614231678417,0.7205613592302267
Fea413,0.002580598657314287,0.723141957887541
Fea493,0.002517483332530066,0.7256594412200711
Fea378,0.002508401565278807,0.7281678427853499
Fea424,0.0024928758767656504,0.7306607186621155
Fea82,0.002451997422721068,0.7331127160848365
Fea54,0.002397411771265334,0.7355101278561018
Fea585,0.002390245414092489,0.7379003732701943
Fea479,0.002380387710785636,0.74028076098098
Fea817,0.0023664429901366205,0.7426472039711166
Fea663,0.002350379374145352,0.744997583345262
Fea511,0.0023470428383954678,0.7473446261836575
Fea712,0.0023354062143500316,0.7496800323980075
Fea91,0.0023218618442199137,0.7520018942422274
Fea381,0.0022970609944573677,0.7542989552366848
Fea964,0.0022802117387079194,0.7565791669753927
Fea974,0.002187162491677424,0.7587663294670701
Fea492,0.002181876601810426,0.7609482060688806
Fea828,0.002164525262110301,0.7631127313309909
Fea395,0.0021519095135053108,0.7652646408444962
Fea145,0.0021303549168715822,0.7673949957613678
Fea793,0.0020902405260865447,0.7694852362874544
Fea194,0.0020453956140374418,0.7715306319014918
Fea153,0.0020443547972588357,0.7735749866987507
Fea166,0.0020256887679087855,0.7756006754666595
Fea837,0.001993529749691813,0.7775942052163513
Fea763,0.001967486155852502,0.7795616913722038
Fea220,0.001960551545818923,0.7815222429180227
Fea380,0.0019328827220609231,0.7834551256400837
Fea55,0.0019015086558248782,0.7853566342959085
Fea410,0.0018972492950662927,0.7872538835909748
Fea847,0.0018856978206941537,0.789139581411669
Fea245,0.001872530208461289,0.7910121116201303
Fea882,0.0018714101292003876,0.7928835217493306
Fea710,0.0018638191259348913,0.7947473408752656
Fea506,0.001861343365140835,0.7966086842404064
Fea62,0.0018589318351254435,0.7984676160755318
Fea772,0.0018523900227326755,0.8003200060982645
