feature,importance,cumulative_importance
Fea314,0.05058738627611936,0.05058738627611936
Fea162,0.04950849561453834,0.10009588189065771
Fea243,0.023880933889331584,0.1239768157799893
Fea270,0.023245599599458603,0.1472224153794479
Fea630,0.0207986184411956,0.1680210338206435
Fea70,0.01970010946735446,0.18772114328799797
Fea170,0.015191395597573015,0.20291253888557098
Fea197,0.014120357977621475,0.21703289686319246
Fea789,0.013561915344524654,0.23059481220771713
Fea181,0.013238283943150861,0.24383309615086798
Fea210,0.013178651902113755,0.2570117480529817
Fea609,0.012156711975772387,0.2691684600287541
Fea561,0.01191680106648499,0.2810852610952391
Fea409,0.011741135890281723,0.2928263969855208
Fea886,0.011449040586445552,0.3042754375719664
Fea34,0.010819054566977472,0.31509449213894386
Fea9,0.010434176290541967,0.3255286684294858
Fea715,0.010300679250819898,0.3358293476803057
Fea971,0.009136970975816892,0.3449663186561226
Fea218,0.008655402862913298,0.35362172151903587
Fea445,0.008060168301166008,0.3616818898202019
Fea481,0.007903240525433893,0.3695851303456358
Fea385,0.007649265113859169,0.37723439545949494
Fea521,0.007346248467254706,0.3845806439267496
Fea851,0.007221814763911587,0.3918024586906612
Fea929,0.007215156464574681,0.39901761515523587
Fea426,0.0069123879022587945,0.40593000305749466
Fea633,0.006645457852257235,0.4125754609097519
Fea735,0.0064123167540513165,0.4189877776638032
Fea373,0.006345011961188911,0.4253327896249921
Fea556,0.006136393029438242,0.43146918265443035
Fea780,0.005829876321954498,0.4372990589763848
Fea91,0.005823180271429793,0.44312223924781463
Fea414,0.005722337947773267,0.4488445771955879
Fea695,0.005537894405653708,0.4543824716012416
Fea836,0.005495726213649659,0.45987819781489125
Fea681,0.005486313418699064,0.4653645112335903
Fea402,0.005470191906694793,0.4708347031402851
Fea663,0.005424643015572385,0.47625934615585747
Fea629,0.00538524307935708,0.4816445892352145
Fea353,0.005187195465632122,0.48683178470084665
Fea245,0.005135934192493228,0.4919677188933399
Fea805,0.005117636970834319,0.49708535586417424
Fea880,0.005105791051386389,0.5021911469155607
Fea102,0.004881198870303761,0.5070723457858645
Fea689,0.004872853518616214,0.5119451993044807
Fea568,0.004789927620993454,0.5167351269254742
Fea22,0.004765373249342974,0.5215005001748172
Fea797,0.00473990189891633,0.5262404020737336
Fea273,0.004649086940713482,0.5308894890144471
Fea315,0.004628116364372052,0.5355176053788192
Fea185,0.004578184542731854,0.540095789921551
Fea566,0.004385927533693126,0.5444817174552442
Fea25,0.0043622823869563405,0.5488439998422006
Fea329,0.004316579433137824,0.5531605792753383
Fea776,0.004197647995203357,0.5573582272705417
Fea972,0.004142717996396632,0.5615009452669384
Fea43,0.004030466038176269,0.5655314113051146
Fea764,0.003992109532528263,0.5695235208376429
Fea158,0.003922137266007747,0.5734456581036507
Fea821,0.0038901595894401176,0.5773358176930908
Fea395,0.003848032480586197,0.581183850173677
Fea824,0.0038391199166346473,0.5850229700903117
Fea798,0.00382893849957524,0.5888519085898869
Fea788,0.003719836076976351,0.5925717446668632
Fea964,0.0037164362653387562,0.596288180932202
Fea569,0.0037034248822201766,0.5999916058144222
Fea400,0.003699319064132824,0.603690924878555
Fea71,0.003696477830510523,0.6073874027090655
Fea23,0.0036534424037758984,0.6110408451128414
Fea14,0.0035683054261738414,0.6146091505390152
Fea397,0.0035304427464918644,0.618139593285507
Fea82,0.0035249255355386173,0.6216645188210457
Fea712,0.003521674608617436,0.6251861934296631
Fea336,0.003315303589508723,0.6285014970191718
Fea361,0.00325548165089936,0.6317569786700712
Fea684,0.003247365521737524,0.6350043441918087
Fea574,0.003189608415831055,0.6381939526076398
Fea731,0.0031754153608945885,0.6413693679685344
Fea467,0.0030805710546023125,0.6444499390231367
Fea490,0.0030666861116758113,0.6475166251348126
Fea63,0.0030584566561891536,0.6505750817910018
Fea119,0.0030336246103352038,0.653608706401337
Fea985,0.0030315921757838303,0.6566402985771208
