feature,importance,cumulative_importance
Fea64,0.028303124182401895,0.028303124182401895
Fea588,0.022508154220388626,0.050811278402790525
Fea36,0.021144831332490285,0.07195610973528081
Fea47,0.020201608760019543,0.09215771849530036
Fea43,0.016396077933805712,0.10855379642910606
Fea819,0.015449162432737504,0.12400295886184357
Fea490,0.014451191321748658,0.13845415018359222
Fea433,0.014222426577325049,0.15267657676091728
Fea197,0.013615246914286975,0.16629182367520426
Fea71,0.012190786841205411,0.17848261051640968
Fea55,0.011769535015847115,0.1902521455322568
Fea672,0.01169463401610566,0.20194677954836246
Fea528,0.010892885605926408,0.21283966515428887
Fea138,0.01051081044406916,0.22335047559835802
Fea70,0.01034278470140988,0.2336932602997679
Fea222,0.010287624126153189,0.24398088442592109
Fea573,0.009752898865562933,0.253733783291484
Fea673,0.009700228177382718,0.2634340114688667
Fea346,0.009432970780557647,0.27286698224942435
Fea777,0.008721856984217258,0.2815888392336416
Fea60,0.008648043898235326,0.2902368831318769
Fea354,0.008513902406893372,0.29875078553877027
Fea795,0.008407013257260272,0.30715779879603056
Fea641,0.00821039921972158,0.3153681980157521
Fea971,0.007970036083187316,0.3233382340989394
Fea944,0.007764116446966411,0.3311023505459058
Fea144,0.007712423313048931,0.33881477385895475
Fea425,0.0076424201071693555,0.3464571939661241
Fea414,0.007408794830974874,0.353865988797099
Fea314,0.007390651992259247,0.36125664078935826
Fea121,0.007352509434135512,0.3686091502234938
Fea87,0.007307635712136297,0.37591678593563005
Fea574,0.007303411926826534,0.3832201978624566
Fea630,0.007095606348609287,0.3903158042110659
Fea560,0.006873336476224595,0.3971891406872905
Fea141,0.006786749240785096,0.4039758899280756
Fea839,0.006682493961628492,0.4106583838897041
Fea561,0.006615707986254279,0.4172740918759584
Fea7,0.006517939535752284,0.4237920314117107
Fea284,0.006475160200652931,0.4302671916123636
Fea820,0.006295126279051458,0.43656231789141503
Fea133,0.00603414562154246,0.4425964635129575
Fea157,0.005919959353425887,0.4485164228663834
Fea26,0.00591134061628152,0.4544277634826649
Fea926,0.005893818703912804,0.4603215821865777
Fea207,0.005797922480692223,0.4661195046672699
Fea720,0.0057065829766020735,0.471826087643872
Fea710,0.005687306777819621,0.47751339442169166
Fea164,0.005624688848641768,0.4831380832703334
Fea488,0.005597467158486703,0.4887355504288201
Fea712,0.005517354362312056,0.49425290479113215
Fea9,0.005477575513453734,0.4997304803045859
Fea825,0.005315543277087025,0.5050460235816729
Fea764,0.0052802815583792686,0.5103263051400522
Fea387,0.005204208848861791,0.5155305139889139
Fea542,0.004942296084780058,0.520472810073694
Fea977,0.004912369347253541,0.5253851794209475
Fea682,0.004838966485796244,0.5302241459067438
Fea575,0.004800266215449826,0.5350244121221936
Fea503,0.00478984539770636,0.5398142575199
Fea247,0.004753749832633939,0.544568007352534
Fea128,0.00473935504759497,0.5493073624001289
Fea947,0.004731410900874335,0.5540387733010033
Fea629,0.0047037130037697545,0.558742486304773
Fea329,0.004601983332864707,0.5633444696376376
Fea633,0.0044704148276337756,0.5678148844652714
Fea814,0.004289467685426295,0.5721043521506977
